Year,Month,Day,Hour,Average_Temperature,Low_Temperature,High_Temperature,Temperature,Humidity,Wind_Speed,Precipitation,Photovoltaic_Power
2014,1,1,0,37.2,27.70494461,44.88555908,30.08187485,12.67947578,1.720666143,0,3.09E-06
2014,1,1,1,37.2,27.70494461,44.88555908,28.19694328,13.85974407,1.530905332,0,0
2014,1,1,2,37.2,27.70494461,44.88555908,32.16592407,10.30011082,2.804817218,0,0
2014,1,1,3,37.2,27.70494461,44.88555908,32.55954742,9.245977402,4.13564536,0,0
2014,1,1,4,37.2,27.70494461,44.88555908,30.81926727,10.078475,1.762448105,0,1.03E-06
2014,1,1,5,37.2,27.70494461,44.88555908,32.21192932,8.906571388,2.538672465,0,0
2014,1,1,6,37.2,27.70494461,44.88555908,32.74629211,8.471101761,4.799602957,0,2.06E-06
2014,1,1,7,37.2,27.70494461,44.88555908,32.7321167,8.805018425,3.654738277,0,0.01058642
2014,1,1,8,37.2,27.70494461,44.88555908,36.17028046,7.180666924,4.763164092,0,0.151049379
2014,1,1,9,37.2,27.70494461,44.88555908,39.50514221,6.387569904,4.119459375,0,0.392229423
2014,1,1,10,37.2,27.70494461,44.88555908,41.30300522,6.146302223,3.827573077,0,0.604947018
2014,1,1,11,37.2,27.70494461,44.88555908,41.81565475,6.122310638,4.030595931,0,0.759357004
2014,1,1,12,37.2,27.70494461,44.88555908,42.41046524,6.50046587,5.683274047,0,0.846647098
2014,1,1,13,37.2,27.70494461,44.88555908,43.62879944,5.658251762,5.101601125,0,0.874595686
2014,1,1,14,37.2,27.70494461,44.88555908,43.84427261,5.587231159,4.722184674,0,0.857018483
2014,1,1,15,37.2,27.70494461,44.88555908,44.10158539,5.363359451,2.40974884,0,0.782952673
2014,1,1,16,37.2,27.70494461,44.88555908,44.17866135,5.460288048,2.56018711,0,0.652424888
2014,1,1,17,37.2,27.70494461,44.88555908,43.34770203,5.432159424,1.971976878,0,0.461841047
2014,1,1,18,37.2,27.70494461,44.88555908,42.06568909,5.843227386,2.750403962,0,0.218503603
2014,1,1,19,37.2,27.70494461,44.88555908,40.42173767,6.53250742,1.664689786,0,0.0326893
2014,1,1,20,37.2,27.70494461,44.88555908,35.16184616,9.210399628,1.775030788,0,0
2014,1,1,21,37.2,27.70494461,44.88555908,32.73093796,10.67155838,2.552298362,0,6.69E-06
2014,1,1,22,37.2,27.70494461,44.88555908,35.96348953,8.878119469,2.909467694,0,0
2014,1,1,23,37.2,27.70494461,44.88555908,34.11585617,9.901686668,3.322034156,0,1.54E-06
2014,1,2,0,35.8,23.91140556,45.2857132,34.01919556,10.32805443,2.714781814,0,3.09E-06
2014,1,2,1,35.8,23.91140556,45.2857132,33.07103348,10.93924809,3.443165196,0,5.14E-07
2014,1,2,2,35.8,23.91140556,45.2857132,30.6068058,12.21946621,1.659126549,0,2.06E-06
2014,1,2,3,35.8,23.91140556,45.2857132,26.82490921,15.63930035,0.656276539,0,4.12E-06
2014,1,2,4,35.8,23.91140556,45.2857132,25.19988632,18.25432777,1.436536534,0,1.03E-06
2014,1,2,5,35.8,23.91140556,45.2857132,24.09323502,21.23110962,1.224576685,0,0
2014,1,2,6,35.8,23.91140556,45.2857132,24.06817627,21.66902161,1.692784392,0,0
2014,1,2,7,35.8,23.91140556,45.2857132,29.17487526,18.2644043,0.971714241,0,0.011861111
2014,1,2,8,35.8,23.91140556,45.2857132,36.19043732,14.15160656,0.662878686,0,0.151931589
2014,1,2,9,35.8,23.91140556,45.2857132,38.50775909,17.39306831,1.974643459,0,0.381795768
2014,1,2,10,35.8,23.91140556,45.2857132,39.64422226,17.27048874,4.324304808,0,0.590532426
2014,1,2,11,35.8,23.91140556,45.2857132,41.82048035,13.94331551,2.972331041,0,0.740399695
2014,1,2,12,35.8,23.91140556,45.2857132,41.35057068,13.10085106,3.146303363,0,0.665226325
2014,1,2,13,35.8,23.91140556,45.2857132,42.50035095,11.83866596,3.825467044,0,0.860672321
2014,1,2,14,35.8,23.91140556,45.2857132,42.19487,11.35113335,1.469634887,0,0.762975808
2014,1,2,15,35.8,23.91140556,45.2857132,43.88018036,10.1751442,3.435620566,0,0.618902774
