Year,Month,Day,Hour,AverageTemp,LowTemp,HighTemp,RainFall,SteamPress,DewPoint,Sunshine,Insolation,Cloudiness,GroundTemp,Temp,Wind,Press,Humi,Solar_Power
2015,1,1,1,-4.5,-5.8,-3.6,0,2.1,-14,0,0,6,0.3,-4.4,5.4,1020.3,47.1,0
2015,1,1,2,-4.5,-5.8,-3.6,0,2.2,-13.4,0,0,6,0.3,-4.6,4.9,1020.3,49.8,0
2015,1,1,3,-4.5,-5.8,-3.6,0,2.2,-13.5,0,0,6,0.2,-4.7,6.2,1020.7,49.6,0
2015,1,1,4,-4.5,-5.8,-3.6,0,2.4,-12.4,0,0,6,0.2,-5,5,1020.6,55.9,0
2015,1,1,5,-4.5,-5.8,-3.6,0,2.2,-13.3,0,0,6,0.2,-5,5.5,1020.4,52.2,0
2015,1,1,6,-4.5,-5.8,-3.6,0,2.4,-12.2,0,0,6,0.1,-5.3,4,1020.7,58.2,0
2015,1,1,7,-4.5,-5.8,-3.6,0,2.3,-12.6,0,0,6,0.1,-5.7,5,1021.3,57.7,0
2015,1,1,8,-4.5,-5.8,-3.6,0,2.3,-13,0,0,3,0.1,-5.7,4.6,1021.6,55.8,0
2015,1,1,9,-4.5,-5.8,-3.6,0,2.3,-12.5,0,0.14,6,0.1,-5.4,6.7,1022.5,57.4,20
2015,1,1,10,-4.5,-5.8,-3.6,0,2.5,-11.7,0.6,0.48,6,0.3,-5,6.5,1023.2,58.9,131
2015,1,1,11,-4.5,-5.8,-3.6,0,2.6,-11.2,0.9,0.81,7,0.3,-4.7,6.4,1023.5,60.4,187
2015,1,1,12,-4.5,-5.8,-3.6,0,2.6,-11.1,0.5,0.85,8,0.4,-5,6,1023,61.5,295
2015,1,1,13,-4.5,-5.8,-3.6,0,2.6,-11.4,0.8,1.12,8,0.8,-4.4,5.7,1022.6,57.9,347
2015,1,1,14,-4.5,-5.8,-3.6,0,2.8,-10.4,0.1,0.6,8,0.7,-4.2,5.9,1022.2,62.1,232
2015,1,1,15,-4.5,-5.8,-3.6,0,2.9,-10,0.2,0.65,8,1,-3.6,6.2,1022.1,61.4,145
2015,1,1,16,-4.5,-5.8,-3.6,0,2.8,-10.3,0.3,0.38,6,0.4,-3.9,5.2,1022.8,61.2,156
2015,1,1,17,-4.5,-5.8,-3.6,0,2.8,-10.5,0.4,0.23,6,0.3,-4.3,5,1022.8,62.1,70
2015,1,1,18,-4.5,-5.8,-3.6,0,2.9,-10,0,0.01,8,0.3,-4.2,2.8,1023.1,63.6,0
2015,1,1,19,-4.5,-5.8,-3.6,0,3,-9.5,0,0,8,0.2,-3.9,3.4,1023.2,64.6,0
2015,1,1,20,-4.5,-5.8,-3.6,0,3,-9.3,0,0,8,0.2,-3.7,3.2,1023.4,65.4,0
2015,1,1,21,-4.5,-5.8,-3.6,0,3.1,-9.1,0,0,8,0.2,-3.7,3.6,1023.4,66.4,0
2015,1,1,22,-4.5,-5.8,-3.6,0,3.1,-9,0,0,8,0.2,-3.8,2.2,1023.3,66.7,0
2015,1,1,23,-4.5,-5.8,-3.6,0,3.3,-8.1,0,0,8,0.2,-4,2.3,1023.1,72.6,0
2015,1,1,24,-4.5,-5.8,-3.6,0,3.3,-8.05,0,0,8,0.15,-4.2,1.35,1022.85,74.1,0
2015,1,2,1,-4.3,-7.7,-0.6,0,3.3,-8,0,0,8,0.1,-4.4,0.4,1022.6,75.6,0
2015,1,2,2,-4.3,-7.7,-0.6,0,3.5,-7.4,0,0,8,0.1,-4.4,0.7,1022.6,78.9,0
2015,1,2,3,-4.3,-7.7,-0.6,0,3.6,-7.2,0,0,8,0.1,-4.6,0.4,1022.6,82.2,0
2015,1,2,4,-4.3,-7.7,-0.6,0,3.7,-6.8,0,0,8,0.1,-5,0.5,1021.8,86.7,0
2015,1,2,5,-4.3,-7.7,-0.6,0,3.7,-6.7,0,0,8,0.1,-5.2,0.5,1021.5,88.8,0
2015,1,2,6,-4.3,-7.7,-0.6,0.1,3.6,-6.9,0,0,8,0.1,-5.7,0.5,1021.3,91.1,0
2015,1,2,7,-4.3,-7.7,-0.6,0,3.3,-8.2,0,0,4,0,-7.2,0.2,1021.1,92,0
2015,1,2,8,-4.3,-7.7,-0.6,0,3.6,-7.1,0,0,8,0.1,-6.1,0,1021.2,92.4,0
2015,1,2,9,-4.3,-7.7,-0.6,0,3.55,-7.2,0,0,9,0.2,-5.3,0.1,1021.8,90.4,9
2015,1,2,10,-4.3,-7.7,-0.6,0,3.5,-7.3,0,0.21,10,0.3,-4.2,1.9,1022.6,78.7,93
2015,1,2,11,-4.3,-7.7,-0.6,0,2.8,-10.3,0.2,0.4,8,0.3,-3.5,2.7,1022.8,58.7,208
2015,1,2,12,-4.3,-7.7,-0.6,0,2.4,-12.4,0.9,1.08,8,0.4,-2.7,4.7,1022.7,47.4,392
2015,1,2,13,-4.3,-7.7,-0.6,0,2.4,-12,1,1.3,2,0.7,-1.3,4.1,1022.4,43.6,393
2015,1,2,14,-4.3,-7.7,-0.6,0,2.4,-12.1,1,1.51,0,1,-0.8,5.2,1022,42.1,472
2015,1,2,15,-4.3,-7.7,-0.6,0,2.5,-11.5,1,1.25,0,0.9,-1.1,6.2,1022.6,45.4,381
2015,1,2,16,-4.3,-7.7,-0.6,0,2.4,-12.3,1,0.87,0,0.4,-1.3,5.1,1023.1,42.9,219
2015,1,2,17,-4.3,-7.7,-0.6,0,2.6,-11,1,0.38,0,0.2,-1.7,2.5,1023.6,49,61
2015,1,2,18,-4.3,-7.7,-0.6,0,2.7,-10.9,0.2,0.02,0,0.1,-3.2,0.7,1024.1,54.8,0
2015,1,2,19,-4.3,-7.7,-0.6,0,2.8,-10.1,0,0,0,0.1,-2.8,1.8,1024.2,57.3,0
2015,1,2,20,-4.3,-7.7,-0.6,0,2.6,-11.3,0,0,0,0,-3.4,1.5,1024.3,54.3,0
2015,1,2,21,-4.3,-7.7,-0.6,0,2.7,-10.8,0,0,0,0,-5.1,0,1024.7,64.4,0
2015,1,2,22,-4.3,-7.7,-0.6,0,3,-9.4,0,0,0,-0.1,-4.4,0.9,1024.7,68,0
2015,1,2,23,-4.3,-7.7,-0.6,0,3.2,-8.7,0,0,0,-0.2,-4.5,1.5,1024.6,71.5,0
2015,1,2,24,-4.3,-7.7,-0.6,0,3,-9.5,0,0,0,-0.3,-6.1,1.1,1024.55,76.45,0
2015,1,3,1,-2.1,-10.1,3.2,0,2.8,-10.3,0,0,0,-0.4,-7.7,0.7,1024.5,81.4,0
2015,1,3,2,-2.1,-10.1,3.2,0,2.8,-10.2,0,0,0,-0.5,-8.2,0.4,1024.2,84.9,0
2015,1,3,3,-2.1,-10.1,3.2,0,2.7,-10.7,0,0,0,-0.6,-9,0.1,1024.1,86.5,0
2015,1,3,4,-2.1,-10.1,3.2,0,2.9,-10,0,0,0,-0.7,-8.7,0.2,1023.6,89.5,0
2015,1,3,5,-2.1,-10.1,3.2,0,2.7,-10.8,0,0,0,-0.9,-9.5,0.1,1023.4,89.8,0
2015,1,3,6,-2.1,-10.1,3.2,0,2.7,-10.9,0,0,0,-1,-9.6,0.1,1023.7,90.2,0
2015,1,3,7,-2.1,-10.1,3.2,0,2.9,-9.9,0,0,6,-0.7,-8.6,0.1,1024.1,90.4,0
2015,1,3,8,-2.1,-10.1,3.2,0,3,-9.5,0,0,7,-0.6,-7.6,0.3,1023.5,85.7,0
2015,1,3,9,-2.1,-10.1,3.2,0,3.4,-7.8,0,0.1,7,-0.2,-5.6,0.2,1023.8,83.9,20
2015,1,3,10,-2.1,-10.1,3.2,0,3.5,-7.4,0,0.3,7,0.1,-3.8,0.4,1024,75.8,120
2015,1,3,11,-2.1,-10.1,3.2,0,4.1,-5.5,0.8,1.08,5,0.4,-0.9,1.1,1023.3,71.4,275
2015,1,3,12,-2.1,-10.1,3.2,0,4.4,-4.5,1,1.4,3,0.8,0.9,1.3,1021.8,67,429
2015,1,3,13,-2.1,-10.1,3.2,0,4.5,-4.2,1,1.46,3,1,1.6,2.3,1020.3,65,481
2015,1,3,14,-2.1,-10.1,3.2,0,4.6,-3.9,0.9,1.02,4,0.9,1.7,2.4,1019.6,65.9,358
2015,1,3,15,-2.1,-10.1,3.2,0,4.9,-2.9,1,0.95,4,0.9,3,2.5,1019.2,64.9,240
2015,1,3,16,-2.1,-10.1,3.2,0,4.8,-3.4,1,0.66,3,0.4,2.1,3,1019.1,67.3,214
2015,1,3,17,-2.1,-10.1,3.2,0,5,-2.7,0.3,0.21,5,0.1,1.4,2.5,1018.6,74.3,50
2015,1,3,18,-2.1,-10.1,3.2,0,5.2,-2.3,0,0.01,6,0.2,1.2,2.3,1018,77.4,0
2015,1,3,19,-2.1,-10.1,3.2,0,5.4,-1.7,0,0,6.67,0.2,0.5,0.7,1018.2,85.4,0
