Year,Month,Day,Hour,AverageTemp,LowTemp,HighTemp,RainFall,SteamPress,DewPoint,Sunshine,Insolation,Cloudiness,GroundTemp,Temp,Wind,Press,Humi,Solar_Power
2015,1,1,1,-2.2,-4.9,1.2,0,2.5,-11.8,0,0,2,-1.3,-0.5,3.2,1009.6,42.4,0
2015,1,1,2,-2.2,-4.9,1.2,0,2.5,-11.8,0,0,2.5,-1.4,-0.8,6.8,1009.6,43.4,0
2015,1,1,3,-2.2,-4.9,1.2,0,2.4,-12.4,0,0,3,-2,-1.5,4.1,1010.1,43.1,0
2015,1,1,4,-2.2,-4.9,1.2,0,2.3,-13,0,0,3,-2.3,-2.1,5.9,1010.3,43.2,0
2015,1,1,5,-2.2,-4.9,1.2,0,2.4,-12.3,0,0,0,-2.9,-3.4,3.9,1010.7,49.5,0
2015,1,1,6,-2.2,-4.9,1.2,0,2,-14.7,0,0,0,-3.5,-4,4.4,1010.7,43.3,0
2015,1,1,7,-2.2,-4.9,1.2,0,1.8,-15.8,0,0,0,-4,-4.6,5,1011.2,41.1,0
2015,1,1,8,-2.2,-4.9,1.2,0,1.8,-15.8,0.2,0.03,0,-4,-4.9,4.5,1011.7,42.3,0
2015,1,1,9,-2.2,-4.9,1.2,0,1.8,-15.4,1,0.49,0,-3.1,-4.1,7,1012,41.4,5.004
2015,1,1,10,-2.2,-4.9,1.2,0,1.9,-15.2,1,1.1,0,0.1,-2.9,4.5,1012.1,37.5,20.76
2015,1,1,11,-2.2,-4.9,1.2,0,1.8,-15.6,1,1.56,0,3.5,-1.8,5,1012.5,33.7,33.48
2015,1,1,12,-2.2,-4.9,1.2,0,1.5,-17.6,1,1.83,0,7.2,-1.5,7.6,1012,27.5,41.748
2015,1,1,13,-2.2,-4.9,1.2,0,1.6,-16.9,1,1.89,0,10,-0.2,4.2,1011.3,26.5,44.244
2015,1,1,14,-2.2,-4.9,1.2,0,1.6,-17,1,1.82,0,9.7,0.2,4.7,1011.2,25.7,41.592
2015,1,1,15,-2.2,-4.9,1.2,0,1.6,-17,1,1.49,0,6.6,0.8,3.7,1011.8,24.7,33.72
2015,1,1,16,-2.2,-4.9,1.2,0,1.5,-17.9,1,0.98,0,2.4,0.3,4.2,1011.8,24.3,21.24
2015,1,1,17,-2.2,-4.9,1.2,0,1.5,-17.7,1,0.36,0,-0.5,-0.5,2.4,1012.5,26.3,7.164
2015,1,1,18,-2.2,-4.9,1.2,0,1.6,-17,0,0.01,0,-1.2,-1.3,3.5,1013.2,28.7,0.036
2015,1,1,19,-2.2,-4.9,1.2,0,1.6,-17,0,0,0,-2.2,-1.7,3.9,1013.3,29.8,0
2015,1,1,20,-2.2,-4.9,1.2,0,1.6,-16.9,0,0,0,-2.9,-2,3.4,1013.8,31.3,0
2015,1,1,21,-2.2,-4.9,1.2,0,1.7,-16.4,0,0,0,-3.3,-2.3,3,1014.5,32.7,0
2015,1,1,22,-2.2,-4.9,1.2,0,1.8,-15.5,0,0,0,-3.7,-2.9,2.8,1014.9,36.5,0
2015,1,1,23,-2.2,-4.9,1.2,0,1.8,-15.6,0,0,0,-4,-3.3,2,1014.6,37.9,0
2015,1,1,24,-2.2,-4.9,1.2,0,1.85,-15.2,0,0,0,-4.1,-3.7,2.9,1014.7,40.45,0
2015,1,2,1,-1,-4.6,3.7,0,1.9,-14.8,0,0,0,-4.2,-4.1,3.8,1014.8,43,0
2015,1,2,2,-1,-4.6,3.7,0,2.1,-14.1,0,0,0,-4.4,-4.5,3.8,1014.4,46.9,0
2015,1,2,3,-1,-4.6,3.7,0,2.1,-13.8,0,0,0,-4.4,-4.2,3.8,1014.3,46.8,0
2015,1,2,4,-1,-4.6,3.7,0,2.1,-13.7,0,0,4,-3.6,-4.1,2.2,1013.9,46.6,0
2015,1,2,5,-1,-4.6,3.7,0,2.3,-12.9,0,0,0,-4.2,-4.3,2.1,1013.8,50.5,0
2015,1,2,6,-1,-4.6,3.7,0,2.4,-12.3,0,0,0,-4.5,-4.2,2.2,1013.6,53,0
2015,1,2,7,-1,-4.6,3.7,0,2.4,-12,0,0,0,-4.7,-4.3,1.8,1013.7,55.4,0
2015,1,2,8,-1,-4.6,3.7,0,2.5,-11.5,0.2,0.02,0,-4.6,-4,1.1,1013.9,55.9,0
2015,1,2,9,-1,-4.6,3.7,0,2.8,-10.3,1,0.46,0,-2.9,-2,2.7,1014.5,53.3,4.776
2015,1,2,10,-1,-4.6,3.7,0,3,-9.5,1,1.06,0,1,-0.4,2.5,1014.7,50.4,19.98
2015,1,2,11,-1,-4.6,3.7,0,3,-9.2,1,1.54,0,5.9,0.5,6.7,1014.2,47.9,32.448
2015,1,2,12,-1,-4.6,3.7,0,2.6,-11,1,1.78,0,9.3,2.2,4.6,1013.6,37.3,39.408
2015,1,2,13,-1,-4.6,3.7,0,2.8,-10.2,1,1.81,0,11.3,2.7,6.4,1012.4,37.9,36.792
2015,1,2,14,-1,-4.6,3.7,0,3,-9.4,1,1.43,2,8.8,3.2,4,1011.7,38.7,36.84
2015,1,2,15,-1,-4.6,3.7,0,3.1,-9,1,1.08,1,7.3,3.7,2.9,1012,38.6,23.988
2015,1,2,16,-1,-4.6,3.7,0,3,-9.6,1,0.86,0,3.8,3,4.7,1012.5,39.2,19.896
2015,1,2,17,-1,-4.6,3.7,0,2.7,-10.6,1,0.33,0,0.7,1.2,4.6,1013.3,41.3,7.176
2015,1,2,18,-1,-4.6,3.7,0,2.5,-11.7,0,0.01,0,-1.1,0.3,3.7,1014.1,39.6,0
2015,1,2,19,-1,-4.6,3.7,0,2,-14.4,0,0,0,-1.3,-0.5,3.7,1015.2,34.4,0
2015,1,2,20,-1,-4.6,3.7,0,1.6,-17.1,0,0,0,-2.2,-0.9,3.3,1016,28.4,0
2015,1,2,21,-1,-4.6,3.7,0,1.6,-16.8,0,0,0,-3.1,-1.5,1.4,1016.7,29.6,0
2015,1,2,22,-1,-4.6,3.7,0,1.6,-17.2,0,0,0,-3.5,-1.9,3.1,1016.7,30,0
2015,1,2,23,-1,-4.6,3.7,0,1.6,-17,0,0,0,-4,-2.1,1.6,1016.6,30.8,0
2015,1,2,24,-1,-4.6,3.7,0,1.65,-16.75,0,0,0,-4.2,-2.45,2.2,1016.55,32.4,0
2015,1,3,1,1.8,-3.8,7.9,0,1.7,-16.5,0,0,0,-4.4,-2.8,2.8,1016.5,34,0
2015,1,3,2,1.8,-3.8,7.9,0,1.8,-15.8,0,0,0,-4.4,-3.2,6,1016.1,37.1,0
2015,1,3,3,1.8,-3.8,7.9,0,1.8,-15.8,0,0,0,-4.7,-3.2,3.1,1016.3,36.6,0
2015,1,3,4,1.8,-3.8,7.9,0,1.7,-16.2,0,0,0,-5,-3.6,3,1015.9,37.2,0
